"id","operador_id","data_abertura","valor_inicial","data_fechamento","valor_fechamento"
"543","174","98","1","UN","0.00"
"544","174","108","1","KG","0.00"
"545","175","110","0","KG","0.00"
"546","175","123","1","UN","0.00"
"547","176","13","1","DZ","0.00"
"548","177","106","0","KG","0.00"
"549","177","53","0","KG","0.00"
"550","177","166","0","KG","0.00"
"551","177","66","0","KG","0.00"
"552","177","187","5","UN","0.00"
"553","178","31","2","KG","0.00"
"554","178","13","1","DZ","0.00"
"555","178","151","1","UN","0.00"
"556","179","17","1","DZ","0.00"
"557","179","152","2","UN","0.00"
"558","179","191","0","KG","0.00"
"559","180","108","1","KG","0.00"
"560","180","55","1","KG","0.00"
"561","180","106","0","KG","0.00"
"562","180","66","1","KG","0.00"
"563","181","65","0","KG","0.00"
"564","182","109","1","KG","0.00"
"565","182","64","0","KG","0.00"
"566","182","61","0","KG","0.00"
"567","182","106","0","KG","0.00"
"568","182","66","1","KG","0.00"
"569","182","29","1","KG","0.00"
"570","182","57","1","KG","0.00"
"571","182","5","1","PCT","0.00"
"572","182","169","40","UN","0.00"
"573","182","166","0","KG","0.00"
"574","183","94","1","UN","0.00"
"575","184","15","1","UN","0.00"
"576","184","55","0","KG","0.00"
"577","184","191","0","KG","0.00"
"578","184","17","1","DZ","0.00"
"579","184","152","3","UN","0.00"
"580","185","66","2","KG","0.00"
"581","185","7","3","PCT","0.00"
"582","185","166","1","KG","0.00"
"583","185","64","0","KG","0.00"
"584","185","61","0","KG","0.00"
"585","185","14","1","KG","0.00"
"586","185","58","2","KG","0.00"
"587","185","11","3","KG","0.00"
"588","186","66","1","KG","0.00"
"589","186","11","0","KG","0.00"
"590","187","14","1","KG","0.00"
"591","187","166","0","KG","0.00"
"592","188","64","0","KG","0.00"
"593","188","86","1","1KG","0.00"
"594","188","186","1","PCT","0.00"
"595","188","93","1","UN","0.00"
"596","188","162","5","UN","0.00"
"597","188","67","0","KG","0.00"
"598","188","180","1","UN","0.00"
"599","189","13","1","DZ","0.00"
"600","189","179","1","PCT","0.00"
"601","189","4","1","PCT","0.00"
"602","189","7","1","PCT","0.00"
"603","190","7","2","PCT","0.00"
"604","190","169","10","UN","0.00"
"605","191","191","0","KG","0.00"
"606","192","16","1","DZ","0.00"
"607","192","13","2","DZ","0.00"
"608","193","64","0","KG","0.00"
"609","193","61","0","KG","0.00"
"610","193","65","0","KG","0.00"
"611","193","165","1","UN","0.00"
"612","193","29","0","KG","0.00"
"613","193","191","0","KG","0.00"
"614","194","63","0","KG","0.00"
"615","195","30","0","KG","0.00"
"616","196","66","1","KG","0.00"
"617","196","186","2","PCT","0.00"
"618","196","12","1","CTL30","0.00"
"619","196","129","1","UN","0.00"
"620","196","59","0","KG","0.00"
"621","196","58","0","KG","0.00"
"622","196","166","1","KG","0.00"
"623","196","14","0","KG","0.00"
"624","197","67","0","KG","0.00"
